Muscles  mesonoto mesobasalar muscle,absent,present,,,,,,
Muscle  mesonoto mesolaterophragmal muscle,absent,present,,,,,,
Muscles  mesonoto mesocoxal muscles,absent,present,,,,,,
Mescles  anterior mesonoto mesotrochanteral muscle,absent,present,,,,,,
Muscles  posterior mesonoto mesotrochanteral muscle,absent,present,,,,,,
Muscles  anterior mesonoto metanotal muscle,absent,present,,,,,,
Muscles  posterior mesonoto metanotal muscle,the_two_bands_of_the_paired_muscle_inserts_medially_on_the_metanotum,the_two_bands_of_the_paired_muscle_inserts_laterally_on_the_metanotum,,,,,,
Muscles  site of origin of second mesopleuro mesonotal muscle,from_the_mesopleural_ridge_or_posterior_to_the_mesopleural_ridge_from_the_mesopleural_arm_,anteriorly_of_the_mesopleural_ridge_or_from_the_wall_of_the_mesopleuron_sometimes_at_least_partly_from_the_mesopleural_apodeme,,,,,,
Muscles  intersegmental membrane mesobasalar muscle,absent,present,,,,,,
Muscles  mesocoxomesobasalar muscle,absent,present,,,,,,
Muscles  mesotrochantero mesobasalar muscle,absent,present,,,,,,
Muscles  mesopleuro mesosubalar muscle,absent,present,,,,,,
Muscles  mesocoxo mesosubalar muscle,absent,present,,,,,,
Muscles  mesofurco mesopleural muscle,absent,present,,,,,,
Muscles  site of origin of the mesopleuro mesocoxal muscle,originates_from_the_anterior_surface_of_the_mesopleural_ridge,originates_from_the_wall_of_the_mesopleuron_sometimes_partly_from_the_mesopleural_apodeme,,,,,,
Muscles  mesopleuro third axillary sclerite of hind wing muscle,absent,present,,,,,,
Muscles  posterior mesofurco mesolaterophragmal muscle,absent,present,,,,,,
Muscles  lateral mesofurco mesotrochanteral muscle,absent,present,,,,,,
Muscles  medial mesofurco mesotrochanteral muscle,absent,present,,,,,,
Muscles  site of origin of the median mesofurco mesotrochanteral muscle,originates_submedially_from_the_lateral_part_of_the_mesofurcal_arm,originates_from_the_mesofurcal_bridge_or_from_the_anterior_mesofurcal_arm,,,,,,
Muscles  mesofurco metabasalar muscle,absent,present,,,,,,
Muscles  mesospinasterno metafurcal muscle,absent,present,,,,,,
Muscles  metanoto metabasalar muscle,absent,present,,,,,,
Muscles  median metapleuro metanotal muscle,absent,present,,,,,,
Muscles  site of origin of the median metapleuro metanotal muscle,originates_anteriorly_of_the_paracoxal_ridge,originates_posteriorly_of_the_paracoxal_ridge,,,,,,
Muscles  metalaterophragmo metafurcal muscle,absent,present,,,,,,
Muscles  metanoto metalaterophragmal muscle,absent,present,,,,,,
Muscles  anterior metanoto metacoxal muscle,absent,present,,,,,,
Muscles  posterior metanoto metacoxal muscle,absent,present,,,,,,
Muscles  metanoto metatrochanteral muscle,absent,present,,,,,,
Muscles  site of origin of the anterior metapleuro metabasalare muscle,"from anteriorly of the paracoxal ridge, but posterior to the anterior margin of the metapleuron",from the wall of the fused meso-metapectus,,,,,,
Muscles  lateral metapleuro metabasalar muscle,absent,present,,,,,,
Muscles posterior metapleuro metabasalare muscle,absent,present,,,,,,
Muscles  metacoxo metabasalar muscle,absent,present,,,,,,
Muscles  metacoxo metasubalar muscle,absent,present,,,,,,
Muscles  anterior metapleuro metafurcal muscle,absent,present,,,,,,
Muscles  posterior metapleuro metafurcal muscle,absent,present,,,,,,
Muscles  lateral metapleuro metacoxal muscle,"originates from the metapleural apodeme and sometimes from the metapleuron ventrally of the metapleural apodeme, site of origin",originates_exclusively_from_the_paracoxal_ridge,,,,,,
Muscles  site of origin of the lateral metapleuro metacoxal muscle,does_not_extend_to_the_propodeum,extends_to_the_propodeum,,,,,,
Muscles  metapleuro propodeal muscle,absent,present,,,,,,
Muscles  metasterno second abdominal sternal muscle,absent,present,,,,,,
Muscles  site of origin of the metapleuro metatrochanteral muscle,does_not_extend_to_the_propodeum,extending_to_the_propodeum,,,,,,
Muscles  second abdominal sternal metacoxal muscle,absent,present,,,,,,
Muscles  propodeo second abdominal segment muscle,absent,present,,,,,,
Muscles  site of origin of the dilator muscle of the propodeal spiracle,originates_just_dorsally_of_the_lateral_metacoxal_articulation,"originates from the metapleural apodeme, anteriorly of the propodeal spiracle",originates_from_the_propodeum_on_the_level_of_the_propodeal_foramen,,,,,
Forewing  sculpture of retinaculum,with_microspicules,with_crenulae,smooth,,,,,
Forewing  costal and radial vein fusion,not_fused,fused_along_their_lengths,,,,,,
Forewing  cubital  Cu  vein shape,"bent sharply towards the posterior margin, apical to 1m-cu crossvein","not bent sharply towards the posterior margin, apical to 1m-cu crossvein",,,,,,
Forewing  costal  C  vein presence,complete_as_a_tubular_vein,absent_or_present_but_not_complete_as_a_tubular_vein,,,,,,
Forewing  stigma presence,present,absent,,,,,,
Forewing  subcostal  SC  vein presence,present_as_a_longitudinal_vein,present_as_an_apparent_crossvein_only,absent,,,,,
Forewing  second branch of radial sector  RS2  vein presence,present,absent,,,,,,
Forewing  anal crossvein  a  presence,present,absent,,,,,,
Forewing  nygmata  sensory spots  on wing membrane  in second submarginal cell ,present,absent,,,,,,
Hind wing  costal  C  vein presence,"present, and at least half as long as distance to costal break (stigma)",absent_or_reduced_to_a_small_stub_at_wing_base,,,,,,
Hind wing  non apical hamuli  presence,present_and_hooked_or_thick_and_highly_sclerotized,absent,,,,,,
Hind wing  subcostal  SC  vein presence,present,absent,,,,,,
HInd wing  number of rs m crossveins,3,1,_or_0,,,,,
Hind wing  m cu crossvein presence,present,absent,,,,,,
Hind wing  medial  M  vein and cubital  Cu  vein fusion,separated_basally,1,_or_0,,,,,
Hind wing  costal margin,not_broadly_curved,broadly_curved,,,,,,
Hind wing  costal trough extending from base to hamuli,present,absent,,,,,,
Hind wing  fusion of radial  R  and costal  C  veins posterad hamuli  cell presence,"R and C separated and forming a small cell posterad hamuli separating and re-fusing distal to hamuli, thus forming a small cel","R and C not separated posterior to hamuli, no small cell  present",,,,,,
Hind wing  microspicules posterad hamuli,present,absent,,,,,,
Hind wing  presence of guide setae or spines posterior to hamuli,absent,present,,,,,,
Hind wing  presence of sclerotized glabrous plate posterior to hamuli,absent,present,,,,,,
Mesotibial apical spurs,two,one,none,,,,,
Tip of tibial spurs,pointed and sclerotized,blunt and with a smooth (membranous) area,,,,,,
Presence of velum on calcar,velum present,velum absent,,,,,,
Velum appearance,smooth and with smooth rim,smooth but with serrated rim,smooth but with a fine comb of socketed setae along edge,with a spinose or ribbed surface,,,,
Anterior basitarsus,with one row of paddle-shaped setae,with more than one row of paddle-shaped setae,with ordinary setae,without paddle-shaped setae though sometimes with blunt or filiform setae,without setae,,,
Inner posterior metatibial spur,simple,modified into a calcar,,,,,,
Mesotibial apical sensillum,present,absent,,,,,,
Inner posterior mesotibial spur,simple,modified into a calcar,,,,,,
Foretibial apical sensillum,present,absent,,,,,,
Metatibial apical sensillum,present,absent,,,,,,
Midleg tibial comb,absent,"present as row of similarly sized, peg-like setae arranged in a row",,,,,,
Abdominal tergum 3  metasomal 2  presence of laterotergites,not separated by a longitudinal fold into lateral and medial tergites,separated by a longitudinal fold into lateral and medial tergites,,,,,,
Interleaving of abdominal terga and sterna 4 5  metasomal terga 3 4 ,"not interleaved. If in contact, terga completely overlying preceding sterna",abdominal tergum 4 lying under sternum 3 laterally (metasomal tergum 3 under sternum 2),,,,,,
Presence of glymma  laterope ,absent,present,,,,,,
Articulation between abdominal tergum 2 and tergum 3  metasomal 1 and 2 ,terga 2-3 not hinged sub-medially,terga 2-3 hinged submedially,,,,,,
Spiracles on abdominal terga 2 8  metasomal 1 7 ,well_developed_on_most_terga,"reduced or absent on 2-7, present or absent on 8",,,,,,
Second abdominal sternum  first metasomal ,entirely_evenly_sclerotized,"evenly sclerotized anteriorly, but posteriorly with membranous areas, or more weakly sclerotized areas",,,,,,
Abdominal sternum 1  presence,present,absent,,,,,,
Abdominal tergum 2  metasomal 1  overlapping abdominal tergum 3  metasomal 2 ,overlapping,not_overlapping,,,,,,
Male thoracic muscles diploid,haploid,diploid,,,,,,
Position of egg exit,at or near apex of ovipositor,at or near base of ovipositor,,,,,,
Ovipositor shape,laterally flattened,"cylindrical, not laterally flattened",,,,,,
Furcula of ovipositor,absent,present,,,,,,
Structure of ovipositor sheaths,unisegmented,divided into two segments,,,,,,
Valvilli presence,absent,present,,,,,,
Second valvifer structure,"not divided, pars articularis absent","subdivided, pars articularis present",,,,,,
Meconium,"not formed, feces voided continuously during larval development",meconium voided at the end of larval development,,,,,,
Mode of parasitism,ectoparasitoids,endoparasitoids,,,,,,
Larval food source,plants,animals,,,,,,
Silk production,labial silk production from salivary gland secretions,no silk production from salivary gland secretions,,,,,,
