id,statemet,Istvan’s_annot,compar_results,suggested_annot
CHAR:161,Mesophragma  lateral attachment of mesopostnotum,HAO:0000567-(mesopostnotum),original is subset,HAO:0000558-(mesophragma); HAO:0000567-(mesopostnotum); HAO:0000650-(notum); HAO:0000786-(postnotum); HAO:0001006-(tergum)
CHAR:162,Mesophragma  lateral flanges,HAO:0000258-(dorsal mesopostnotal flange),none,HAO:0000344-(flange); HAO:0000558-(mesophragma)
CHAR:163,Mesopectus  configuration with mesonotum,HAO:0000556-(mesonotum),original is subset,HAO:0000556-(mesonotum); HAO:0000557-(mesopectus); HAO:0000650-(notum); HAO:0000705-(pectus); HAO:0001006-(tergum)
CHAR:164,Mesopectus  tegula configuration,HAO:0000993-(tegula); HAO:0000853-(pronotum),partial,HAO:0000391-(gula); HAO:0000557-(mesopectus); HAO:0000705-(pectus); HAO:0000993-(tegula)
CHAR:165,Mesopleuron  external part of basalar,HAO:0000542-(mesobasalare),none,HAO:0000566-(mesopleuron); HAO:0001354-(mesopleuron); HAO:0002262-(petiole length); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:166,Mesopleuron  basalar apodeme,HAO:0002505-(basalar apodeme); HAO:0000557-(mesopectus),partial,HAO:0000142-(apodeme); HAO:0000566-(mesopleuron); HAO:0001354-(mesopleuron); HAO:0002505-(basalar apodeme); HAO:0002262-(petiole length); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:167,Mesopleuron  postspiracular sclerite,HAO:0000811-(prepectus),original is subset,HAO:0000566-(mesopleuron); HAO:0001354-(mesopleuron); HAO:0000811-(prepectus); HAO:0002262-(petiole length); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:168,Mesopleuron  posterior thoracic spiracle configuration,HAO:0000769-(posterior thoracic spiracle),original is subset,HAO:0000566-(mesopleuron); HAO:0000769-(posterior thoracic spiracle); HAO:0001354-(mesopleuron); HAO:0002262-(petiole length); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:169,Mesopleuron  supramesopleural sclerite,HAO:0002506-(supramesopleural sclerite),original is subset,HAO:0000566-(mesopleuron); HAO:0001354-(mesopleuron); HAO:0002506-(supramesopleural sclerite); HAO:0002262-(petiole length); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:170,Mesopleuron  mesepimeral ridge,HAO:0000537-(mesepimeral ridge),original is subset,HAO:0000537-(mesepimeral ridge); HAO:0001354-(mesopleuron); HAO:0000188-(carina); HAO:0002262-(petiole length); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:171,Mesopectus  mesopleural ridge,HAO:0001357-(mesopleural ridge),original is subset,HAO:0000705-(pectus); HAO:0001357-(mesopleural ridge); HAO:0000188-(carina); HAO:0000537-(mesepimeral ridge); HAO:0002262-(petiole length)
CHAR:172,Mesopleuron  mesopleural pit,HAO:0001358-(mesopleural pit),original is subset,HAO:0000561-(mesopleural pit); HAO:0000723-(pleural pit); HAO:0001354-(mesopleuron); HAO:0001358-(mesopleural pit); HAO:0000241-(depression); HAO:0002262-(petiole length); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:173,Mesopleuron  mesopleural apodeme,HAO:0001359-(mesopleural apodeme),original is subset,HAO:0000720-(pleural apodeme); HAO:0001354-(mesopleuron); HAO:0001359-(mesopleural apodeme); HAO:0002262-(petiole length); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:174,Mesopleuron  apodeme configuration,HAO:0001359-(mesopleural apodeme); HAO:0000537-(mesepimeral ridge),original is finer,HAO:0000142-(apodeme); HAO:0000566-(mesopleuron); HAO:0001354-(mesopleuron); HAO:0002262-(petiole length); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:175,Mesopectus  mesopleural triangle,HAO:0000562-(mesopleural triangle),original is subset,HAO:0000562-(mesopleural triangle); HAO:0000705-(pectus); HAO:0002329-(angle); HAO:0002262-(petiole length)
CHAR:176,Mesoplueron  prospinasternum,HAO:0001694-(prospinasternum),original is subset,HAO:0000947-(spina); HAO:0001694-(prospinasternum); HAO:0000955-(sternite); HAO:0002262-(petiole length)
CHAR:177,Mesopleuron  prospinasternal apodeme,HAO:0002507-(prospinasternal apodeme),original is subset,HAO:0000566-(mesopleuron); HAO:0000947-(spina); HAO:0001354-(mesopleuron); HAO:0002007-(sternal apodeme); HAO:0002507-(prospinasternal apodeme); HAO:0002262-(petiole length); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:178,Mesopleuron  acetabular epicnemial carina,HAO:0000292-(epicnemial carina),original is subset,HAO:0000292-(epicnemial carina); HAO:0001354-(mesopleuron); HAO:0002262-(petiole length); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:179,Mesopleuron  procoxal concavities,HAO:0000294-(epicnemium),none,HAO:0000566-(mesopleuron); HAO:0001122-(procoxa); HAO:0001354-(mesopleuron); HAO:0002262-(petiole length); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:180,Mesopleuron  subpleural signum,HAO:0000975-(subpleural signum),original is subset,HAO:0000566-(mesopleuron); HAO:0000975-(subpleural signum); HAO:0001354-(mesopleuron); HAO:0002262-(petiole length); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:181,Mesopectus  pseudosternal sulci,HAO:0000560-(mesopleural epicoxal sulcus),original is finer,HAO:0000557-(mesopectus); HAO:0000705-(pectus)
CHAR:182,Mesopectus  sternaular carina,HAO:0000953-(sternaulus),original is finer,HAO:0000188-(carina); HAO:0000557-(mesopectus); HAO:0000705-(pectus)
CHAR:183,Mesopleuron  posterior transverse carina,HAO:0000794-(postpectal carina),original is finer,HAO:0000566-(mesopleuron); HAO:0001354-(mesopleuron); HAO:0001930-(transverse propodeal carina); HAO:0002262-(petiole length); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:184,Mesopleuron  mesocoxal foramina,HAO:0001785-(mesocoxal foramen),none,HAO:0000566-(mesopleuron); HAO:0001354-(mesopleuron); HAO:0000635-(mid coxa); HAO:0002262-(petiole length); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:185,Mesopleuron  median mesocoxal articulation,HAO:0001383-(medial mesopecto-mesocoxal articulation),original is finer,HAO:0000151-(articulation); HAO:0000566-(mesopleuron); HAO:0001354-(mesopleuron); HAO:0000519-(medial vein); HAO:0000635-(mid coxa); HAO:0001485-(articular surface); HAO:0002262-(petiole length); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:186,Mesopleuron  medial mesocoxal articulation position,HAO:0001383-(medial mesopecto-mesocoxal articulation),original is finer,HAO:0000151-(articulation); HAO:0000566-(mesopleuron); HAO:0001354-(mesopleuron); HAO:0000519-(medial vein); HAO:0000635-(mid coxa); HAO:0001485-(articular surface); HAO:0002262-(petiole length); HAO:0002363-(mesopleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:187,mesofurca  mesofurcal pit,HAO:0000549-(mesofurcal pit); HAO:0001785-(mesocoxal foramen),partial,HAO:0000547-(mesofurca); HAO:0000549-(mesofurcal pit); HAO:0000241-(depression)
CHAR:188,Mesofurca  mesospina and metafurco mesospinal muscle,HAO:0002508-(mesospinasternal apodeme),none,HAO:0000547-(mesofurca); HAO:0000641-(muscle); HAO:0000947-(spina); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line)
CHAR:189,Mesofurca  arms proximally,HAO:0000475-(lateral mesofurcal arm),original is finer,HAO:0000547-(mesofurca)
CHAR:190,Mesofurca  anterior arm,HAO:0001439-(anterior mesofurcal arm),original is finer,HAO:0000547-(mesofurca)
CHAR:191,Mesofurca  bridge  R99  54 ,HAO:0000548-(mesofurcal bridge),original is finer,HAO:0000547-(mesofurca); HAO:0000899-(ridge); HAO:0000188-(carina)
CHAR:192,Mesofurca  anterior projection on bridge,HAO:0000121-(anterior process of the mesofurcal bridge),original is finer,HAO:0000547-(mesofurca); HAO:0000829-(projection); HAO:0000899-(ridge); HAO:0000188-(carina)
CHAR:193,Mesofurca  lateral arm,HAO:0000475-(lateral mesofurcal arm); HAO:0000566-(mesopleuron),original is finer,HAO:0000547-(mesofurca)
CHAR:194,Midleg  mesocoxa,HAO:0000635-(mid coxa),identical,HAO:0000635-(mid coxa)
CHAR:195,Midleg  proximal part of mesocoxa,HAO:0001368-(mesobasicoxite),original is finer,HAO:0000635-(mid coxa)
CHAR:196,Midleg  coxo trochanter articulation,HAO:0001256-(mesotrochanteral apodeme),original is finer,HAO:0000151-(articulation); HAO:0001034-(trochanter); HAO:0000636-(mid leg); HAO:0001485-(articular surface)
CHAR:197,Midleg  trochantellus,HAO:0001858-(mesotrochantellus),original is finer,HAO:0001033-(trochantellus); HAO:0000636-(mid leg); HAO:0002326-(maximum diameter of the compound eye)
CHAR:198,Metanotum,HAO:0000603-(metanotum),original is subset,HAO:0000603-(metanotum); HAO:0001006-(tergum)
CHAR:199,Metanotum  orientation,HAO:0000603-(metanotum); HAO:0000574-(mesoscutellum),partial,HAO:0000603-(metanotum); HAO:0001006-(tergum)
CHAR:200,Metanotum  cenchri,HAO:0000189-(cenchrus),original is finer,HAO:0000603-(metanotum); HAO:0001006-(tergum)
CHAR:201,Metanotum hindwing tegula,HAO:0002483-(hind wing tegula),original is finer,HAO:0000391-(gula); HAO:0000401-(hindwing); HAO:0000603-(metanotum); HAO:0000993-(tegula); HAO:0001006-(tergum)
CHAR:202,Metanotum  humeral sclerite,HAO:0000404-(humeral sclerite of the metanotum),original is finer,HAO:0000603-(metanotum); HAO:0000909-(sclerite); HAO:0001006-(tergum); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line)
CHAR:203,Metanotum  metascutellum,HAO:0000625-(metascutellum),original is subset,HAO:0000625-(metascutellum); HAO:0002430-(scute); HAO:0000574-(mesoscutellum); HAO:0001006-(tergum); HAO:0002326-(maximum diameter of the compound eye)
CHAR:204,Metanotum  metascutellum configuration,HAO:0000625-(metascutellum),original is subset,HAO:0000625-(metascutellum); HAO:0002430-(scute); HAO:0000574-(mesoscutellum); HAO:0001006-(tergum); HAO:0002326-(maximum diameter of the compound eye)
CHAR:205,Metanotum  incurvation posterad metascutellum,HAO:0000603-(metanotum),none,HAO:0000625-(metascutellum); HAO:0002430-(scute); HAO:0000574-(mesoscutellum); HAO:0001006-(tergum); HAO:0002326-(maximum diameter of the compound eye)
CHAR:206,Metanotum  lateral longitudinal carina,HAO:0000624-(metascutellar carina),original is finer,HAO:0000603-(metanotum); HAO:0002014-(lateral longitudinal carina); HAO:0001006-(tergum)
CHAR:207,Metanotum  lateral incision,HAO:0002484-(lateral incision of metanoum),original is finer,HAO:0000603-(metanotum); HAO:0001006-(tergum)
CHAR:208,Metapleuron  apodemal part of metabasalare,HAO:0002485-(cup-shaped apodeme of metabasalare),original is finer,HAO:0000586-(metabasalare); HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:209,Metapleuron  metapleural arm   T1 association,HAO:0000608-(metapleural arm); HAO:0000051-(abdominal tergum 1),partial,HAO:0000608-(metapleural arm); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0001150-(abdominal mediotergite 2); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:210,Metaplueron  metaplural arm configuration,HAO:0000608-(metapleural arm); HAO:0000621-(metapleuron),none,HAO:0002262-(petiole length)
CHAR:211,Metapleuron  metapisternal anapleural cleft,HAO:0002509-(metepisternal anapleural cleft),none,HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0002262-(petiole length); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:212,Metapleuron  metepimeron   T1 association,HAO:0000632-(metepimeron),original is subset,HAO:0000535-(meron); HAO:0000632-(metepimeron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0001955-(metepimeron); HAO:0002298-(metapleuron); HAO:0001150-(abdominal mediotergite 2); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:213,Metapluron  metepimeron,HAO:0000632-(metepimeron),original is subset,HAO:0000535-(meron); HAO:0000632-(metepimeron); HAO:0001955-(metepimeron); HAO:0002262-(petiole length)
CHAR:214,Metapleuron  articular inflection,HAO:0002486-(articular inflection),original is subset,HAO:0000418-(inflection); HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0002486-(articular inflection); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:215,Metapleuron  dorsal longitudinal ridge,HAO:0000609-(metapleural carina),original is finer,HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0000899-(ridge); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0000188-(carina); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:216,Metapleuron  metapleural pit,HAO:0000612-(metapleural pit),original is subset,HAO:0000612-(metapleural pit); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0000241-(depression); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:217,Metapleuron  metapleural apodeme,HAO:0000607-(metapleural apodeme),original is subset,HAO:0000607-(metapleural apodeme); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0001359-(mesopleural apodeme); HAO:0002250-(metapleural sulcus); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:218,Metapleuron  mesopleural metapleural association,HAO:0000621-(metapleuron); HAO:0000566-(mesopleuron),partial,HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:219,Metapleuron  paracoxal notches,HAO:0002510-(paracoxal notch),original is subset,HAO:0000228-(coxa); HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0002510-(paracoxal notch); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:220,Metapleuron  median longitudinal carina projection,HAO:0001378-(median longitudinal metepisternal carina),original is finer,HAO:0000188-(carina); HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0000829-(projection); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0000519-(medial vein); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:221,Metapleuron  lateral longitudinal carina,HAO:0001056-(ventral carina of the metapleuron),original is finer,HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002014-(lateral longitudinal carina); HAO:0002298-(metapleuron); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:222,Metapleuron  ventral transverse carina,HAO:0001056-(ventral carina of the metapleuron),original is finer,HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0001930-(transverse propodeal carina); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:223,Metapleuron  area anterior to paracoxal ridge sulcus,HAO:0000684-(paracoxal ridge),original is subset,HAO:0000228-(coxa); HAO:0000621-(metapleuron); HAO:0000684-(paracoxal ridge); HAO:0000729-(pleuron); HAO:0000978-(sulcus); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0000188-(carina); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:224,Metapleuron  anterior paracoxal sulci ridges,HAO:0000684-(paracoxal ridge),original is finer,HAO:0000228-(coxa); HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0000899-(ridge); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0000188-(carina); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:225,Metapleuron  posterior paracoxal ridge,HAO:0002487-(posterior paracoxal ridge),original is subset,HAO:0000228-(coxa); HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0002487-(posterior paracoxal ridge); HAO:0000188-(carina); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:226,Metapleuron  anterior paracoxal ridge,HAO:0000684-(paracoxal ridge); HAO:0002250-(metapleural sulcus),partial,HAO:0000228-(coxa); HAO:0000621-(metapleuron); HAO:0000684-(paracoxal ridge); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0000188-(carina); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:227,Metapleuron  metapectal plates,HAO:0002488-(metapectal plate),original is subset,HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0002488-(metapectal plate); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:228,Metapluron  metacoxal foramina,HAO:0001264-(metacoxal foramen); HAO:0001785-(mesocoxal foramen),none,HAO:0000587-(metacoxa); HAO:0002262-(petiole length)
CHAR:229,Metapleuron  median coxal articulation,HAO:0001385-(medial coxal condyle of the metapectus),original is finer,HAO:0000151-(articulation); HAO:0000228-(coxa); HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0000519-(medial vein); HAO:0001485-(articular surface); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:230,Metapleuron  median coxal articulation position,HAO:0001385-(medial coxal condyle of the metapectus),original is finer,HAO:0000151-(articulation); HAO:0000228-(coxa); HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0000519-(medial vein); HAO:0001485-(articular surface); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:231,Metapleuron  lateral coxal articulation,HAO:0001414-(lateral coxal condyle of the metapleuron),original is finer,HAO:0000151-(articulation); HAO:0000228-(coxa); HAO:0000621-(metapleuron); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0001485-(articular surface); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:232,Metapleuron  articulation notch,HAO:0002489-(articular notch),original is finer,HAO:0000151-(articulation); HAO:0000621-(metapleuron); HAO:0000648-(notch); HAO:0000729-(pleuron); HAO:0001271-(metapleuron); HAO:0001272-(metapleuron); HAO:0001273-(metapleuron); HAO:0001869-(metapleuron); HAO:0002298-(metapleuron); HAO:0001485-(articular surface); HAO:0002262-(petiole length); HAO:0002360-(metapleural area of the mesonoto-metanoto-mesopecto-metapecto-propodeal complex)
CHAR:233,Metafurca  metafurcal pit position,HAO:0000594-(metafurcal pit); HAO:0001264-(metacoxal foramen),partial,HAO:0000592-(metafurca); HAO:0000594-(metafurcal pit); HAO:0000241-(depression)
CHAR:234,Metafurca  number of metafurcal pits,HAO:0000594-(metafurcal pit),original is subset,HAO:0000592-(metafurca); HAO:0000594-(metafurcal pit); HAO:0000241-(depression)
CHAR:235,Metafurca  position,HAO:0000593-(metafurcal arm); HAO:0000591-(metadiscrimenal lamella),original is finer,HAO:0000592-(metafurca)
CHAR:236,Metafurca  furca discrimen configuration,HAO:0000592-(metafurca); HAO:0000590-(metadiscrimen),partial,HAO:0000592-(metafurca); HAO:0000900-(rim); HAO:0000545-(mesodiscrimen)
CHAR:237,Metafurca  connection to mesofurca,HAO:0000592-(metafurca); HAO:0000547-(mesofurca),identical,HAO:0000547-(mesofurca); HAO:0000592-(metafurca)
CHAR:238,Metafurca  anterior metafurcal arm,HAO:0002490-(anterior metafurcal arm),original is subset,HAO:0000365-(furcal arm); HAO:0000593-(metafurcal arm); HAO:0002490-(anterior metafurcal arm)
CHAR:239,Metafurca  lateral metafurcal arm,HAO:0000593-(metafurcal arm); HAO:0000607-(metapleural apodeme),partial,HAO:0000365-(furcal arm); HAO:0000593-(metafurcal arm)
CHAR:240,Hind leg  trochantins,HAO:0001725-(metatrochantin),original is finer,HAO:0000399-(hind leg); HAO:0001035-(trochantin)
CHAR:241,Hind leg  size of coxa,HAO:0000587-(metacoxa),original is finer,HAO:0000228-(coxa); HAO:0000399-(hind leg)
CHAR:242,Hind leg  femoral spines,HAO:0002491-(sturdy spines of the hind femur),original is finer,HAO:0000399-(hind leg); HAO:0000949-(spine)
CHAR:243,Hind leg  tibial preapical spurs,HAO:0002492-(preapical tibial spurs),original is finer,HAO:0000399-(hind leg); HAO:0000951-(spur); HAO:0001017-(tibia)
CHAR:244,Hind leg  tibial brush,HAO:0001686-(row of spurs); HAO:0000631-(metatibia),original is finer,HAO:0000399-(hind leg); HAO:0001017-(tibia)
CHAR:245,Hind leg  tarsal plantulae,HAO:0000990-(tarsal plantula),original is subset,HAO:0000399-(hind leg); HAO:0000990-(tarsal plantula); HAO:0002262-(petiole length)
CHAR:246,Propodeum T1 medially,HAO:0000051-(abdominal tergum 1),original is subset,HAO:0001248-(propodeum); HAO:0001249-(propodeum); HAO:0000051-(abdominal tergum 1); HAO:0000519-(medial vein); HAO:0001150-(abdominal mediotergite 2)
CHAR:247,Propodeum  metapostnotum association,HAO:0001877-(metapostnotum); HAO:0000051-(abdominal tergum 1),original is subset,HAO:0000622-(metapostnotum); HAO:0000650-(notum); HAO:0000786-(postnotum); HAO:0001248-(propodeum); HAO:0001249-(propodeum); HAO:0001877-(metapostnotum); HAO:0000051-(abdominal tergum 1)
CHAR:248,Propodeum  median antecostal projections,HAO:0002493-(median antecostal projection),original is subset,HAO:0000098-(antecosta); HAO:0000225-(costa); HAO:0001248-(propodeum); HAO:0001249-(propodeum); HAO:0002493-(median antecostal projection); HAO:0000051-(abdominal tergum 1); HAO:0000519-(medial vein)
CHAR:249,Propodeum  lateral antecostal projections,HAO:0002494-(lateral antecostal projection),original is subset,HAO:0000098-(antecosta); HAO:0000225-(costa); HAO:0001248-(propodeum); HAO:0001249-(propodeum); HAO:0002494-(lateral antecostal projection); HAO:0000051-(abdominal tergum 1)
CHAR:250,Propodeum  metaphragma,HAO:0000606-(metaphragma),original is subset,HAO:0000606-(metaphragma); HAO:0001248-(propodeum); HAO:0001249-(propodeum); HAO:0000051-(abdominal tergum 1)
CHAR:251,Propodeum  metalaterophragmal lobes,HAO:0002495-(metalaterophragmal lobe),original is subset,HAO:0000492-(laterophragma); HAO:0001248-(propodeum); HAO:0001249-(propodeum); HAO:0001587-(lobe); HAO:0002495-(metalaterophragmal lobe); HAO:0000051-(abdominal tergum 1)
CHAR:252,Propodeum  metaphragma metapleural apodeme configuration,HAO:0000606-(metaphragma); HAO:0000607-(metapleural apodeme),original is subset,HAO:0000606-(metaphragma); HAO:0000607-(metapleural apodeme); HAO:0001248-(propodeum); HAO:0001249-(propodeum); HAO:0000051-(abdominal tergum 1); HAO:0001359-(mesopleural apodeme); HAO:0002250-(metapleural sulcus); HAO:0002262-(petiole length)
CHAR:253,Propodeum  metapostnotum,HAO:0001877-(metapostnotum),original is subset,HAO:0000622-(metapostnotum); HAO:0000650-(notum); HAO:0000786-(postnotum); HAO:0001248-(propodeum); HAO:0001249-(propodeum); HAO:0001877-(metapostnotum); HAO:0000051-(abdominal tergum 1)
CHAR:254,Propodeum  median projection,HAO:0002397-(anteromedian projection of the metanoto-propodeo-metapecto-mesopectal complex),original is finer,HAO:0000829-(projection); HAO:0001248-(propodeum); HAO:0001249-(propodeum); HAO:0000051-(abdominal tergum 1); HAO:0000519-(medial vein)
